Isekai wa Smartphone to Tomo ni.,In Another World With My Smartphone,Isekai-wa-Smartphone-to-Tomo-ni..mp4,1365862
Isekai Yakkyoku,Parallel World Pharmacy,Isekai-Yakkyoku.mp4,76315
Jujutsu Kaisen,Jujutsu Kaisen,Jujutsu-Kaisen.mp4,46937550
Kage no Jitsuryokusha ni Naritakute!,The Eminence in Shadow,Kage-no-Jitsuryokusha-ni-Naritakute!.mp4,827052
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,Kaguya-sama-wa-Kokurasetai:-Tensai-tachi-no-Renai-Zunousen.mp4,1695978
Kaguya-sama wa Kokurasetai: Ultra Romantic,Kaguya-sama: Love is War - Ultra Romantic,Kaguya-sama-wa-Kokurasetai:-Ultra-Romantic.mp4,1036202
Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen,Kaguya-sama: Love is War,Kaguya-sama-wa-Kokurasetai--Tensai-tachi-no-Renai-Zunousen.mp4,1695995
Kami no Tou,Tower of God,Kami-no-Tou.mp4,7185930
Kami-tachi ni Hirowareta Otoko,By the Grace of the Gods,Kami-tachi-ni-Hirowareta-Otoko.mp4,63446
"Kanojo, Okarishimasu",Rent-a-Girlfriend,"Kanojo,-Okarishimasu.mp4",15036834
Kawaii dake ja Nai Shikimori-san,Shikimori's Not Just a Cutie,Kawaii-dake-ja-Nai-Shikimori-san.mp4,1408569
Kenja no Mago,Wise Man's Grandchild,Kenja-no-Mago.mp4,18745
Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Kimetsu-no-Yaiba.mp4,8042419
Koi wa Sekai Seifuku no Ato de,Love After World Domination,Koi-wa-Sekai-Seifuku-no-Ato-de.mp4,78673
Kono Subarashii Sekai ni Shukufuku wo!,KonoSuba: God's Blessing on This Wonderful World!,Kono-Subarashii-Sekai-ni-Shukufuku-wo!.mp4,7430338
Kono Subarashii Sekai ni Shukufuku wo! 2,KonoSuba: God's Blessing on This Wonderful World! 2,Kono-Subarashii-Sekai-ni-Shukufuku-wo!-2.mp4,6140659
Kono Subarashii Sekai ni Shukufuku wo! Movie: Kurenai Densetsu,KonoSuba: God's Blessing on This Wonderful World! - Legend of Crimson,Kono-Subarashii-Sekai-ni-Shukufuku-wo!-Movie:-Kurenai-Densetsu.mp4,1522482
Koori Zokusei Danshi to Cool na Douryou Joshi,The Ice Guy and His Cool Female Colleague,Koori-Zokusei-Danshi-to-Cool-na-Douryou-Joshi.mp4,43749
Koroshi Ai,Love of Kill,Koroshi-Ai.mp4,165600
Kuma Kuma Kuma Bear,Kuma Kuma Kuma Bear,Kuma-Kuma-Kuma-Bear.mp4,22218
"Kumo desu ga, Nani ka?","So I'm a Spider, So What?","Kumo-desu-ga,-Nani-ka-.mp4",2435688
Kuro no Shoukanshi,Black Summoner,Kuro-no-Shoukanshi.mp4,226388
Kyokou Suiri,In/Spectre,Kyokou-Suiri.mp4,1622286
Made in Abyss,Made in Abyss,Made-in-Abyss.mp4,3752685
Mairimashita! Iruma-kun,Welcome to Demon School! Iruma-kun,Mairimashita!-Iruma-kun.mp4,3568106
Mairimashita! Iruma-kun 2nd Season,Welcome to Demon School! Iruma-kun Season 2,Mairimashita!-Iruma-kun-2nd-Season.mp4,1783208
"Maou Gakuin no Futekigousha: Shijou Saikyou no Maou no Shiso, Tensei shite Shison-tachi no Gakkou e Kayou",The Misfit of Demon King Academy,"Maou-Gakuin-no-Futekigousha:-Shijou-Saikyou-no-Maou-no-Shiso,-Tensei-shite-Shison-tachi-no-Gakkou-e-Kayou.mp4",765311
Maou-jou de Oyasumi,Sleepy Princess in the Demon Castle,Maou-jou-de-Oyasumi.mp4,340123
Masamune-kun no Revenge,Masamune-kun's Revenge,Masamune-kun-no-Revenge.mp4,1896711
Monster Musume no Oishasan,Monster Girl Doctor,Monster-Musume-no-Oishasan.mp4,354902
Mushoku Tensei: Isekai Ittara Honki Dasu,Mushoku Tensei: Jobless Reincarnation,Mushoku-Tensei-Isekai-Ittara-Honki-Dasu.mp4,3224360
Mushoku Tensei: Isekai Ittara Honki Dasu Part 2,Mushoku Tensei: Jobless Reincarnation Part 2,Mushoku-Tensei-Isekai-Ittara-Honki-Dasu.mp4,201436
Nanatsu no Taizai,The Seven Deadly Sins,Nanatsu-no-Taizai.mp4,2162029
Nanatsu no Taizai: Imashime no Fukkatsu,The Seven Deadly Sins: Revival of the Commandments,Nanatsu-no-Taizai:-Imashime-no-Fukkatsu.mp4,852749
Nanatsu no Taizai: Kamigami no Gekirin,The Seven Deadly Sins: Imperial Wrath of the Gods,Nanatsu-no-Taizai:-Kamigami-no-Gekirin.mp4,9486
Ningen Fushin no Boukensha-tachi ga Sekai wo Sukuu you desu,Ningen Fushin: Adventurers Who Don't Believe in Humanity Will Save the World,Ningen-Fushin-no-Boukensha-tachi-ga-Sekai-wo-Sukuu-you-desu.mp4,66465
No Game No Life,"No Game, No Life",No-Game-No-Life.mp4,12551203
Ore dake Haireru Kakushi Dungeon,The Hidden Dungeon Only I Can Enter,Ore-dake-Haireru-Kakushi-Dungeon.mp4,64374
Otome Game no Hametsu Flag shika Nai Akuyaku Reijou ni Tensei shiteshimatta...,My Next Life as a Villainess: All Routes Lead to Doom!,Otome-Game-no-Hametsu-Flag-shika-Nai-Akuyaku-Reijou-ni-Tensei-shiteshimatta....mp4,2351643
Otome Game Sekai wa Mob ni Kibishii Sekai desu,Trapped in a Dating Sim: The World of Otome Games is Tough for Mobs,Otome-Game-Sekai-wa-Mob-ni-Kibishii-Sekai-desu.mp4,1011024
Overlord,Overlord,Overlord.mp4,25016205
Overlord 2,Overlord 2,Overlord-II.mp4,3054663
Overlord 3,Overlord 3,Overlord-III.mp4,11321353
Overlord 4,Overlord 4,Overlord-IV.mp4,3446197
Rakudai Kishi no Cavalry,Chivalry of a Failed Knight,Rakudai-Kishi-no-Cavalry.mp4,453023
Re:Zero kara Hajimeru Isekai Seikatsu,Re:ZERO -Starting Life in Another World- Season 2,Re:Zero-kara-Hajimeru-Isekai-Seikatsu.mp4,7469639
Rokka no Yuusha,Rokka: Braves of the Six Flowers,Rokka-no-Yuusha.mp4,180212
Rokudenashi Majutsu Koushi to Akashic Records,Akashic Records of Bastard Magic Instructor,Rokudenashi-Majutsu-Koushi-to-Akashic-Records.mp4,7149063
Rougo ni Sonaete Isekai de 8-manmai no Kinka wo Tamemasu,"Saving 80,000 Gold in Another World for My Retirement",Rougo-ni-Sonaete-Isekai-de-8-manmai-no-Kinka-wo-Tamemasu.mp4,79642
Saiki Kusuo no Î¨-nan,The Disastrous Life of Saiki K.,Saiki-Kusuo-no-Î¨-nan.mp4,2096320
